object_level;object_name;gender;year;education_level;study_area;count_graduate;percent_employed;average_salary;oktmo;okato
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Инженерное дело, технологии и технические науки;174750;82.6413245;97587.72637;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Искусство и культура;17240;78.79899014;66017.98643;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Математические и естественные науки;22171;79.9111319;100414.5666;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Науки об обществе;263341;73.95125362;73469.93527;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Образование и педагогические науки;61782;83.13251026;57974.12928;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Сельское хозяйство и сельскохозяйственные науки;23234;77.99557522;61657.94741;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Гуманитарные науки;26137;74.28890608;59687.63139;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Здравоохранение и медицинские науки;39291;77.27503509;72659.59501;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Инженерное дело, технологии и технические науки;164357;82.03764373;91903.49505;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Искусство и культура;16816;77.47895969;61994.31464;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Математические и естественные науки;21032;78.84974984;88131.76668;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Науки об обществе;252923;72.89885262;69140.00114;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Образование и педагогические науки;60932;82.2909298;55909.227;00000000;00000000
Страна;Российская Федерация;Всего;2021;Бакалавриат, специалитет;Сельское хозяйство и сельскохозяйственные науки;22451;76.03725262;59967.20743;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Гуманитарные науки;28078;71.00436681;54472.98449;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Здравоохранение и медицинские науки;42762;70.45701228;60859.50562;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Инженерное дело, технологии и технические науки;171514;79.5880659;83410.72651;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Искусство и культура;16997;75.73405121;58179.47924;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Математические и естественные науки;23018;75.41961437;75839.11727;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Науки об обществе;245655;71.64192689;64689.18343;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Образование и педагогические науки;65967;80.30039041;53724.70394;00000000;00000000
Страна;Российская Федерация;Всего;2022;Бакалавриат, специалитет;Сельское хозяйство и сельскохозяйственные науки;23314;72.87755289;55389.85944;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Гуманитарные науки;28563;60.60570351;46875.35088;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Здравоохранение и медицинские науки;43189;57.63919302;51731.6922;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Инженерное дело, технологии и технические науки;175850;72.25028348;74186.19455;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Искусство и культура;17700;68.29960737;52284.70747;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Математические и естественные науки;23393;64.62396807;60743.0639;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Науки об обществе;241439;65.03793157;58792.43294;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Образование и педагогические науки;65062;76.72150625;48484.6812;00000000;00000000
Страна;Российская Федерация;Всего;2023;Бакалавриат, специалитет;Сельское хозяйство и сельскохозяйственные науки;23045;65.30837004;52292.2085;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Гуманитарные науки;9277;82.62745543;78054.75482;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Здравоохранение и медицинские науки;153;93.89312977;129580.3603;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Инженерное дело, технологии и технические науки;52398;87.57443817;119388.3119;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Искусство и культура;2750;83.36542164;79628.27348;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Математические и естественные науки;12360;83.17144043;127545.1259;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Науки об обществе;71710;80.26631929;106315.8088;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Образование и педагогические науки;16786;87.7546057;72796.77992;00000000;00000000
Страна;Российская Федерация;Всего;2019;Магистратура;Сельское хозяйство и сельскохозяйственные науки;4968;84.71624667;75297.55135;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Гуманитарные науки;9642;82.69972452;75647.09198;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Здравоохранение и медицинские науки;138;87.90322581;115947.2884;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Инженерное дело, технологии и технические науки;52246;87.87795654;114233.6499;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Искусство и культура;2639;83.52553542;79313.79059;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Математические и естественные науки;11914;83.19611751;119551.2492;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Науки об обществе;71709;80.18784514;104860.5104;00000000;00000000
